model.h5,test data,model name, AUC, pearson correlation coefficient
AO.po,NPC.po,onehot_cnn_one_branch,0.617732234,0.174924965
CM.po,NPC.po,onehot_cnn_one_branch,0.668114651,0.249606391
BL1.po,NPC.po,onehot_cnn_one_branch,0.652731368,0.267757395
AD2.pp,ME.pp,onehot_cnn_two_branch,0.665776095,0.28093075
CM.po,NPC.po,onehot_cnn_two_branch,0.670292815,0.308706525
AO.po,NPC.po,onehot_cnn_two_branch,0.611049231,0.151846594
BL1.po,NPC.po,onehot_cnn_two_branch,0.662706369,0.288120158
AD2.pp,ME.pp,onehot_embedding_dense,0.63957815,0.286252806
AO.po,NPC.po,onehot_embedding_dense,0.657236207,0.204701589
CM.po,NPC.po,onehot_embedding_dense,0.692779882,0.285889652
BL1.po,NPC.po,onehot_embedding_dense,0.696170887,0.345420543
AO.po,NPC.po,onehot_dense,0.632088315,0.258315069
AD2.pp,ME.pp,onehot_dense,0.629983775,0.250983976
CM.po,NPC.po,onehot_dense,0.683906339,0.311227291
BL1.po,NPC.po,onehot_dense,0.698349051,0.340482457
AO.po,NPC.po,onehot_resnet18,0.52770971,0.05338994
AD2.pp,ME.pp,onehot_resnet18,0.605581395,0.156788032
CM.po,NPC.po,onehot_resnet18,0.605480062,0.166552997
BL1.po,NPC.po,onehot_resnet18,0.646097869,0.247191175
AO.po,NPC.po,embedding_cnn_one_branch,0.610628019,0.193420077
AD2.pp,ME.pp,embedding_cnn_one_branch,0.572256098,0.120950103
CM.po,NPC.po,embedding_cnn_one_branch,0.6221479,0.2228845
BL1.po,NPC.po,embedding_cnn_one_branch,0.593088071,0.185810326
AO.po,NPC.po,embedding_cnn_two_branch,0.652347331,0.266567462
AD2.pp,ME.pp,embedding_cnn_two_branch,0.473453833,-0.036475759
CM.po,NPC.po,embedding_cnn_two_branch,0.631091292,0.227117548
BL1.po,NPC.po,embedding_cnn_two_branch,0.575721541,0.14129198
AO.po,NPC.po,embedding_dense,0.505165366,0.001543211
BL1.po,NPC.po,embedding_dense,0.500606961,0.00510494
CM.po,NPC.po,embedding_dense,0.581122259,0.14247348
AD2.pp,ME.pp,onehot_embedding_cnn_one_branch,0.596167247,0.163513973
AO.po,NPC.po,onehot_embedding_cnn_one_branch,0.629010281,0.236806542
CM.po,NPC.po,onehot_embedding_cnn_one_branch,0.664932491,0.283823896
BL1.po,NPC.po,onehot_embedding_cnn_one_branch,0.500024774,0.027175618
AO.po,NPC.po,onehot_embedding_cnn_two_branch,0.619100706,0.207375975
AD2.pp,ME.pp,onehot_embedding_cnn_two_branch,0.595513937,0.171741394
BL1.po,NPC.po,onehot_embedding_cnn_two_branch,0.604855692,0.194887148
CM.po,NPC.po,onehot_embedding_cnn_two_branch,0.631537223,0.218637247
BL1.po,GM.po,onehot_cnn_one_branch,0.667098612,0.301539349
CM.po,GM.po,onehot_cnn_one_branch,0.685653257,0.298129745
AO.po,GM.po,onehot_cnn_one_branch,0.64247063,0.26665882
AD2.pp,IMR90.pp,onehot_cnn_two_branch,0.645201443,0.218598662
AO.po,GM.po,onehot_cnn_two_branch,0.651840513,0.221316046
CM.po,GM.po,onehot_cnn_two_branch,0.688116768,0.351630084
BL1.po,GM.po,onehot_cnn_two_branch,0.701666073,0.351100867
AD2.pp,IMR90.pp,onehot_embedding_dense,0.666836018,0.268689322
AO.po,GM.po,onehot_embedding_dense,0.665574938,0.328360785
BL1.po,GM.po,onehot_embedding_dense,0.721723033,0.346079088
CM.po,GM.po,onehot_embedding_dense,0.739864721,0.411529196
AD2.pp,IMR90.pp,onehot_dense,0.676522888,0.310293368
AO.po,GM.po,onehot_dense,0.680598078,0.344412554
BL1.po,GM.po,onehot_dense,0.713834105,0.372133149
CM.po,GM.po,onehot_dense,0.735393378,0.413776491
AD2.pp,IMR90.pp,onehot_resnet18,0.600856915,0.153819382
AO.po,GM.po,onehot_resnet18,0.473207547,-0.040366397
CM.po,GM.po,onehot_resnet18,0.607817729,0.178283419
BL1.po,GM.po,onehot_resnet18,0.593990744,0.112368176
AD2.pp,IMR90.pp,embedding_cnn_one_branch,0.635027671,0.244392323
AO.po,GM.po,embedding_cnn_one_branch,0.605192429,0.185459932
BL1.po,GM.po,embedding_cnn_one_branch,0.69535941,0.358506298
CM.po,GM.po,embedding_cnn_one_branch,0.6985189,0.346501827
AD2.pp,IMR90.pp,embedding_cnn_two_branch,0.553018306,0.085162938
AO.po,GM.po,embedding_cnn_two_branch,0.598716189,0.190494769
CM.po,GM.po,embedding_cnn_two_branch,0.69551667,0.337394287
BL1.po,GM.po,embedding_cnn_two_branch,0.6599045,0.291480551
AO.po,GM.po,embedding_dense,0.550737691,0.087556079
CM.po,GM.po,embedding_dense,0.710742266,0.369481974
BL1.po,GM.po,embedding_dense,0.466403614,-0.032561859
AD2.pp,IMR90.pp,onehot_embedding_cnn_one_branch,0.590566198,0.166615961
AO.po,GM.po,onehot_embedding_cnn_one_branch,0.626451078,0.22504244
CM.po,GM.po,onehot_embedding_cnn_one_branch,0.707868702,0.322840756
BL1.po,GM.po,onehot_embedding_cnn_one_branch,0.5,nan
AD2.pp,IMR90.pp,onehot_embedding_cnn_two_branch,0.62363559,0.214042511
AO.po,GM.po,onehot_embedding_cnn_two_branch,0.627165895,0.22951913
CM.po,GM.po,onehot_embedding_cnn_two_branch,0.66665237,0.273788217
BL1.po,GM.po,onehot_embedding_cnn_two_branch,0.661477097,0.287514926
CM.po,BL1.po,onehot_cnn_one_branch,0.607199338,0.152607847
BL1.po,BL1.po,onehot_cnn_one_branch,0.655564982,0.235951937
AO.po,BL1.po,onehot_cnn_one_branch,0.626585394,0.204659181
AD2.pp,MSC.pp,onehot_cnn_two_branch,0.648682981,0.258939904
AD2.pp,MSC.pp,onehot_embedding_dense,0.664910095,0.291212258
BL1.po,BL1.po,onehot_cnn_two_branch,0.629355579,0.204774118
AO.po,BL1.po,onehot_cnn_two_branch,0.627376127,0.188929579
CM.po,BL1.po,onehot_cnn_two_branch,0.680360491,0.331839212
AD2.pp,MSC.pp,onehot_dense,0.668606271,0.291570122
AO.po,BL1.po,onehot_embedding_dense,0.661875137,0.270005629
CM.po,BL1.po,onehot_embedding_dense,0.696211812,0.362451829
BL1.po,BL1.po,onehot_embedding_dense,0.685445272,0.2448593
AD2.pp,MSC.pp,onehot_resnet18,0.574702093,0.108558599
AO.po,BL1.po,onehot_dense,0.650506383,0.283478153
BL1.po,BL1.po,onehot_dense,0.667012285,0.304604764
CM.po,BL1.po,onehot_dense,0.689278495,0.34166783
AD2.pp,MSC.pp,embedding_cnn_one_branch,0.573365284,0.145966044
AD2.pp,MSC.pp,embedding_cnn_two_branch,0.540884322,0.077447655
AO.po,BL1.po,onehot_resnet18,0.511672479,0.019058168
CM.po,BL1.po,onehot_resnet18,0.565945057,0.09498864
BL1.po,BL1.po,onehot_resnet18,0.530241619,0.059934673
AO.po,BL1.po,embedding_cnn_one_branch,0.633525183,0.232967939
CM.po,BL1.po,embedding_cnn_one_branch,0.65814939,0.275406829
BL1.po,BL1.po,embedding_cnn_one_branch,0.657306095,0.286717524
AD2.pp,MSC.pp,onehot_embedding_cnn_one_branch,0.608948267,0.191224972
AO.po,BL1.po,embedding_cnn_two_branch,0.63465309,0.240551408
BL1.po,BL1.po,embedding_cnn_two_branch,0.604157443,0.203440621
CM.po,BL1.po,embedding_cnn_two_branch,0.714428773,0.369245142
AD2.pp,MSC.pp,onehot_embedding_cnn_two_branch,0.598362001,0.173546308
AO.po,BL1.po,embedding_dense,0.509929796,0.013916264
CM.po,BL1.po,embedding_dense,0.682488984,0.318305029
BL1.po,BL1.po,embedding_dense,0.444321464,-0.075746123
AO.po,BL1.po,onehot_embedding_cnn_one_branch,0.669059516,0.299281797
CM.po,BL1.po,onehot_embedding_cnn_one_branch,0.696466595,0.310827959
BL1.po,BL1.po,onehot_embedding_cnn_one_branch,0.5,0.03360403
AO.po,BL1.po,onehot_embedding_cnn_two_branch,0.671125588,0.301317956
BL1.po,BL1.po,onehot_embedding_cnn_two_branch,0.613085826,0.198884702
CM.po,BL1.po,onehot_embedding_cnn_two_branch,0.72090106,0.378360875
AD2.pp,AD2.pp,onehot_cnn_two_branch,0.534334705,0.069566984
AO.po,AO.po,onehot_cnn_one_branch,0.651644185,0.238720546
CM.po,AO.po,onehot_cnn_one_branch,0.627552964,0.218377638
BL1.po,AO.po,onehot_cnn_one_branch,0.615712163,0.192933492
AD2.pp,AD2.pp,onehot_embedding_dense,0.559231824,0.134394665
CM.po,AO.po,onehot_cnn_two_branch,0.672182213,0.318395177
BL1.po,AO.po,onehot_cnn_two_branch,0.661984644,0.25298785
AO.po,AO.po,onehot_cnn_two_branch,0.66073674,0.221109837
AD2.pp,AD2.pp,onehot_dense,0.547146776,0.110416517
CM.po,AO.po,onehot_embedding_dense,0.667114388,0.322947892
BL1.po,AO.po,onehot_embedding_dense,0.700502972,0.312486135
AO.po,AO.po,onehot_embedding_dense,0.711848422,0.306223684
AD2.pp,AD2.pp,onehot_resnet18,0.491591221,-0.013148172
CM.po,AO.po,onehot_dense,0.678202637,0.312321485
BL1.po,AO.po,onehot_dense,0.635811995,0.26285891
AO.po,AO.po,onehot_dense,0.706571026,0.363291448
AD2.pp,AD2.pp,embedding_cnn_one_branch,0.526439273,0.043674154
AD2.pp,AD2.pp,embedding_cnn_two_branch,0.549969815,0.088737537
AO.po,AO.po,onehot_resnet18,0.504591526,0.014642684
CM.po,AO.po,onehot_resnet18,0.586214944,0.122116536
BL1.po,AO.po,onehot_resnet18,0.637879134,0.229854695
AO.po,AO.po,embedding_cnn_one_branch,0.621559633,0.213907234
CM.po,AO.po,embedding_cnn_one_branch,0.623337156,0.212713271
BL1.po,AO.po,embedding_cnn_one_branch,0.616437309,0.222099699
AD2.pp,AD2.pp,onehot_embedding_cnn_one_branch,0.512266067,0.017015999
AO.po,AO.po,embedding_cnn_two_branch,0.59793578,0.180787566
CM.po,AO.po,embedding_cnn_two_branch,0.640271407,0.248198396
BL1.po,AO.po,embedding_cnn_two_branch,0.634183869,0.239289681
AD2.pp,AD2.pp,onehot_embedding_cnn_two_branch,0.562400527,0.112743212
AO.po,AO.po,embedding_dense,0.5194763,0.039907885
CM.po,AO.po,embedding_dense,0.63334289,0.235795277
BL1.po,AO.po,embedding_dense,0.488111621,-0.012333824
AO.po,AO.po,onehot_embedding_cnn_one_branch,0.621387615,0.226428822
BL1.po,AO.po,onehot_embedding_cnn_one_branch,0.501552943,0.02612373
CM.po,AO.po,onehot_embedding_cnn_one_branch,0.650181575,0.224351567
AO.po,AO.po,onehot_embedding_cnn_two_branch,0.628965979,0.230446974
CM.po,AO.po,onehot_embedding_cnn_two_branch,0.6319763,0.234768141
BL1.po,AO.po,onehot_embedding_cnn_two_branch,0.628287462,0.233135735
AD2.pp,GM.pp,onehot_cnn_two_branch,0.63239167,0.235441161
AO.po,LI11.po,onehot_cnn_one_branch,0.632115102,0.219137887
CM.po,LI11.po,onehot_cnn_one_branch,0.630917874,0.190130694
BL1.po,LI11.po,onehot_cnn_one_branch,0.646746482,0.263859758
AD2.pp,GM.pp,onehot_embedding_dense,0.643259979,0.237986747
AD2.pp,GM.pp,onehot_dense,0.652535296,0.284422309
CM.po,LI11.po,onehot_cnn_two_branch,0.642654904,0.247625507
BL1.po,LI11.po,onehot_cnn_two_branch,0.672173913,0.27917679
AO.po,LI11.po,onehot_cnn_two_branch,0.611434573,0.163761713
AD2.pp,GM.pp,onehot_resnet18,0.588173328,0.133032744
AO.po,LI11.po,onehot_embedding_dense,0.654383533,0.291905852
CM.po,LI11.po,onehot_embedding_dense,0.646956522,0.28565898
BL1.po,LI11.po,onehot_embedding_dense,0.675547154,0.279582018
AD2.pp,GM.pp,embedding_cnn_one_branch,0.566929134,0.12387205
AO.po,LI11.po,onehot_dense,0.642932157,0.273361748
CM.po,LI11.po,onehot_dense,0.644881327,0.244652399
BL1.po,LI11.po,onehot_dense,0.651048099,0.274240096
AD2.pp,GM.pp,embedding_cnn_two_branch,0.476028284,-0.045252373
AO.po,LI11.po,onehot_resnet18,0.49694602,8.78E-05
CM.po,LI11.po,onehot_resnet18,0.619794161,0.184361265
BL1.po,LI11.po,onehot_resnet18,0.617088847,0.176279026
AD2.pp,GM.pp,onehot_embedding_cnn_one_branch,0.607464774,0.193664218
AO.po,LI11.po,embedding_cnn_one_branch,0.614713786,0.202421418
BL1.po,LI11.po,embedding_cnn_one_branch,0.63120046,0.241445162
CM.po,LI11.po,embedding_cnn_one_branch,0.618347445,0.20839408
AD2.pp,GM.pp,onehot_embedding_cnn_two_branch,0.609303771,0.199654749
AO.po,LI11.po,embedding_cnn_two_branch,0.588669743,0.166349662
CM.po,LI11.po,embedding_cnn_two_branch,0.654827697,0.27026067
BL1.po,LI11.po,embedding_cnn_two_branch,0.612474438,0.204913353
AO.po,LI11.po,embedding_dense,0.514078318,0.01053566
BL1.po,LI11.po,embedding_dense,0.504292788,0.007916691
CM.po,LI11.po,embedding_dense,0.625344353,0.226660614
AO.po,LI11.po,onehot_embedding_cnn_one_branch,0.597162365,0.172946601
CM.po,LI11.po,onehot_embedding_cnn_one_branch,0.641045142,0.229107295
BL1.po,LI11.po,onehot_embedding_cnn_one_branch,0.494211496,0.017366624
AO.po,LI11.po,onehot_embedding_cnn_two_branch,0.588728895,0.162151122
CM.po,LI11.po,onehot_embedding_cnn_two_branch,0.626730213,0.211812918
BL1.po,LI11.po,onehot_embedding_cnn_two_branch,0.603669151,0.191701023
AD2.pp,SX.pp,onehot_cnn_two_branch,0.600838754,0.161026007
AO.po,CM.po,onehot_cnn_one_branch,0.619796786,0.174473036
BL1.po,CM.po,onehot_cnn_one_branch,0.645869565,0.253598729
CM.po,CM.po,onehot_cnn_one_branch,0.599898393,0.145394032
AD2.pp,SX.pp,onehot_embedding_dense,0.637763322,0.245947033
AD2.pp,SX.pp,onehot_dense,0.627997232,0.247445702
AD2.pp,SX.pp,onehot_resnet18,0.59740346,0.150826386
AD2.pp,SX.pp,embedding_cnn_one_branch,0.590224835,0.155872105
AO.po,CM.po,onehot_cnn_two_branch,0.645956994,0.195748533
CM.po,CM.po,onehot_cnn_two_branch,0.676954159,0.28505374
BL1.po,CM.po,onehot_cnn_two_branch,0.678081285,0.298643303
AD2.pp,SX.pp,embedding_cnn_two_branch,0.527972938,0.06623016
AO.po,CM.po,onehot_embedding_dense,0.660713611,0.322209587
CM.po,CM.po,onehot_embedding_dense,0.722223535,0.355154151
BL1.po,CM.po,onehot_embedding_dense,0.711635161,0.362820421
AO.po,CM.po,onehot_dense,0.65081758,0.296644105
CM.po,CM.po,onehot_dense,0.713627127,0.363945759
BL1.po,CM.po,onehot_dense,0.688681474,0.338586483
AD2.pp,SX.pp,onehot_embedding_cnn_one_branch,0.580059904,0.147799252
AO.po,CM.po,onehot_resnet18,0.511224008,0.025817024
CM.po,CM.po,onehot_resnet18,0.580595463,0.124667942
BL1.po,CM.po,onehot_resnet18,0.624499055,0.1975475
AD2.pp,SX.pp,onehot_embedding_cnn_two_branch,0.623892017,0.220493939
AO.po,CM.po,embedding_cnn_one_branch,0.624598268,0.230129147
BL1.po,CM.po,embedding_cnn_one_branch,0.653097588,0.281146648
CM.po,CM.po,embedding_cnn_one_branch,0.664530399,0.289540599
AO.po,CM.po,embedding_cnn_two_branch,0.61174758,0.206439006
CM.po,CM.po,embedding_cnn_two_branch,0.685486615,0.320512708
BL1.po,CM.po,embedding_cnn_two_branch,0.635000756,0.247883499
AO.po,CM.po,embedding_dense,0.495415532,-0.011311929
CM.po,CM.po,embedding_dense,0.665428388,0.28836219
BL1.po,CM.po,embedding_dense,0.512122845,0.021308398
AO.po,CM.po,onehot_embedding_cnn_one_branch,0.593461698,0.18330288
BL1.po,CM.po,onehot_embedding_cnn_one_branch,0.498950771,-0.010158277
CM.po,CM.po,onehot_embedding_cnn_one_branch,0.645058227,0.22757058
AO.po,CM.po,onehot_embedding_cnn_two_branch,0.650918784,0.270074971
AD2.pp,X5628FC.pp,onehot_cnn_two_branch,0.637587819,0.212727507
CM.po,CM.po,onehot_embedding_cnn_two_branch,0.678676081,0.299000492
BL1.po,CM.po,onehot_embedding_cnn_two_branch,0.664634377,0.294518946
AD2.pp,X5628FC.pp,onehot_embedding_dense,0.648472721,0.248177495
AO.po,H1.po,onehot_cnn_one_branch,0.60221315,0.181814221
BL1.po,H1.po,onehot_cnn_one_branch,0.594900448,0.163051172
CM.po,H1.po,onehot_cnn_one_branch,0.604099249,0.163580161
AD2.pp,X5628FC.pp,onehot_dense,0.637224006,0.24397357
AD2.pp,X5628FC.pp,onehot_resnet18,0.538232359,0.063677201
AD2.pp,X5628FC.pp,embedding_cnn_one_branch,0.579914404,0.145444693
AD2.pp,X5628FC.pp,embedding_cnn_two_branch,0.504840614,0.012677057
CM.po,H1.po,onehot_cnn_two_branch,0.662541504,0.297906309
AO.po,H1.po,onehot_cnn_two_branch,0.606686172,0.163564379
